order_id,product,quantity,price,city,revenue
101,Laptop,1,65000,Bangalore,65000
102,Mouse,2,1200,Delhi,2400
103,Keyboard,1,2500,Mumbai,2500
104,Monitor,2,15000,Pune,30000
105,Headphones,3,3000,Hyderabad,9000
106,Laptop,1,72000,Chennai,72000
107,Mouse,4,1000,Bangalore,4000
108,Keyboard,2,2200,Delhi,4400
109,Monitor,1,18000,Mumbai,18000
110,Tablet,2,25000,Pune,50000
111,Headphones,1,4500,Chennai,4500
112,Laptop,2,58000,Hyderabad,116000
113,Mouse,5,900,Mumbai,4500
114,Keyboard,1,3500,Pune,3500
115,Monitor,2,12500,Bangalore,25000
116,Tablet,1,32000,Delhi,32000
117,Headphones,2,2800,Mumbai,5600
118,Laptop,1,85000,Pune,85000
119,Mouse,3,1100,Chennai,3300
120,Keyboard,2,3000,Hyderabad,6000
121,Monitor,1,22000,Delhi,22000
122,Tablet,2,28000,Bangalore,56000
123,Headphones,4,2500,Pune,10000
124,Laptop,1,69000,Mumbai,69000
125,Mouse,2,1300,Hyderabad,2600
126,Keyboard,3,1800,Chennai,5400
127,Monitor,1,16500,Pune,16500
128,Tablet,1,36000,Mumbai,36000
129,Headphones,2,3200,Bangalore,6400
130,Laptop,2,62000,Delhi,124000
